user_id,url,date,text,num_comments,num_likes,is_video,video_view_count,is_top,other_tags
6495573946,https://www.instagram.com/p/B-tc9yBDy-H/,2020-04-08 06:41:36,"Raspberry Pi 3B+ Playground 🤖

#ADS1115 #ADC #BMP280 #Led #GPIO #GPIOExtensionBoard #SSD1306 #I2C #Headless #RaspberryPi3Bplus #RaspberryPi #Playground #Sensors #Programmer #Python3  #LightSensor #TempSensor #Protoboard #PythonPrograming",7,165,False,,True,"ADS1115,ADC,BMP280,Led,GPIO,GPIOExtensionBoard,SSD1306,I2C,Headless,RaspberryPi3Bplus,RaspberryPi,Playground,Sensors,Programmer,Python3,LightSensor,TempSensor,Protoboard,PythonPrograming"
1080920,https://www.instagram.com/p/ByzSWhNhm8s/,2019-06-17 06:47:35,👉,64,713,False,,True,
28201492776,https://www.instagram.com/p/B88jpoZphSx/,2020-02-24 10:25:51,"موضوع: آشنايي با ماژول نمايشگر 
مدرس: استاد ملك زاده
سطح: پيشرفته

@electro.expert 💡
@electro.expert 💡
@electro.expert 💡
💡
@ma_malekzadeh

#الكترونيك #برق #آموزش #دانشجو #دانش_آموز #پروژه #پروژه_دانشجويي #علم #علم_آموزش #اشتغال #علاقه #نانو_صنعت_كارون #فانكشن_ژنراتور #مقاومت #برد_هزار_سوراخ #ال_اي_دي
#electronicsprojects #electronic #electronics #student #education #job #favourite #nano_sanat_karoon #function_generator #resistor #prototype_PCB #PCB #OLED #ssd1306",17,271,False,,True,"الكترونيك,برق,آموزش,دانشجو,دانش_آموز,پروژه,پروژه_دانشجويي,علم,علم_آموزش,اشتغال,علاقه,نانو_صنعت_كارون,فانكشن_ژنراتور,مقاومت,برد_هزار_سوراخ,ال_اي_دي,electronicsprojects,electronic,electronics,student,education,job,favourite,nano_sanat_karoon,function_generator,resistor,prototype_PCB,PCB,OLED,ssd1306"
4526729786,https://www.instagram.com/p/B3J1HfKgmEC/,2019-10-03 11:00:14,"[Issue 27] Sorting through resistors can be an arduous task, especially in poor light, but Andrew found an easier way. Discover his solution on p57 or go to ⁠link in bio.⁠
⁠
⁠
#diyode #diyodemag #resistor #resistors #resistorsorter #arduino #arduinolove #arduinonano #FedericoVivaldi #ohm #ohms #ohmmeter #ohmeter #diyelectronics #oled #arduinoproject #resistance #electronics #multimeter #electricalengineer #electropeak #64x128 #i2c #ssd1306",4,101,False,,True,"diyode,diyodemag,resistor,resistors,resistorsorter,arduino,arduinolove,arduinonano,FedericoVivaldi,ohm,ohms,ohmmeter,ohmeter,diyelectronics,oled,arduinoproject,resistance,electronics,multimeter,electricalengineer,electropeak,64x128,i2c,ssd1306"
8369289656,https://www.instagram.com/p/CFclSRQjqqn/,2020-09-22 17:07:14,"DIY Multifunction Energy Meter V2.0
@opengreenenergy

The device can measures the following and upload the data to Blynk.

👉Voltage
👉Current
👉Power
👉Energy
👉Capacity
👉Temperature

YouTube video link is on my bio..
⠀
#arduinodisplay #arduino #ina219 #energymeter #wattmeter #voltmeter #temperaturemeasurement #arduinoprojects #esp8266wifi #esp8266 #wemosd1mini #opengreenenergy #solarplant #solarmonitoring #opensourcehardware #maker #makerspace #breadboarding #ssd1306 @pcbway
#blynkproject #blynkapp #usbdevice #usbtester",2,446,True,5655.0,True,"arduinodisplay,arduino,ina219,energymeter,wattmeter,voltmeter,temperaturemeasurement,arduinoprojects,esp8266wifi,esp8266,wemosd1mini,opengreenenergy,solarplant,solarmonitoring,opensourcehardware,maker,makerspace,breadboarding,ssd1306,blynkproject,blynkapp,usbdevice,usbtester"
218099456,https://www.instagram.com/p/B1dX2T7AurB/,2019-08-22 08:06:30,"Doing a deep dive learning on how to initialize and work an OLED display SSD1306. Ie how libraries do it in detail behind the scenes. For this, reading the datasheet of the device display is a must. From this information, you can already think of possible functions to create, like make the display inverse color, or adjust contrast, speed, brightness, direction of screen updates, etc. #python #maixduino #kendryte #k210 #iot #internetofthings #ai #artificialintelligence #ml #machinelearning #oled #ssd1306 #micropython",3,258,False,,True,"python,maixduino,kendryte,k210,iot,internetofthings,ai,artificialintelligence,ml,machinelearning,oled,ssd1306,micropython"
1369145672,https://www.instagram.com/p/BwrmenyBbHk/,2019-04-25 14:06:44,"RPN scientific calculators were quite popular in the ’70s and ’80s, particularly for models produced by Hewlett-Packard. If you’re interested in building your own RPN scientific calculator, GitHubber ZOOXO has a great open source design.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
This RPN scientific calculator, called SCOTT, is the successor to ZOOXO’s previous design ScArY. That earlier project was based on a commercial development board and only had a 7 segment display. For this new model, ZOOXO decided to build the circuit from scratch, which allows for the use of a more versatile SSD1306 OLED display.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
The other major components are a @microchipmakes ATtiny85 microcontroller and a 16 key one-wire keypad. Of the five regular I/O pins on the ATtiny85, only three are being used: two for the display’s I2C connection, and one for the keypad.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
// 🔢 bit.ly/diy-calculator
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
// 📷 github.com/zooxo
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#hackster #calculator #scientificcalculator #attiny85 #oleddisplay #ssd1306 #hardware #opensource #makers",3,746,False,,True,"hackster,calculator,scientificcalculator,attiny85,oleddisplay,ssd1306,hardware,opensource,makers"
1369145672,https://www.instagram.com/p/CEk8Sy-sQMY/,2020-09-01 02:30:34,"How many projects begin with wiring a microcontroller, buttons, LEDs, and an LCD screen to a breadboard? Whether your answer is once-in-a-while or very often, like Josh Kittle of Project: Blue Smoke Monster, you need to check out his Practical IoT Microcontroller Trainer kit. This kitchen sink platform contains all of the essential elements used to prototype microcontroller-based electronic circuits — just add jumper wires!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
// 🔹 bit.ly/practical-iot
⠀⠀⠀⠀⠀⠀⠀⠀⠀
// 📷 bluesmokemonster.com
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#hackster #esp32 #esp8266 #arduino #raspberrypi #bluetooth #oledscreen #oleddisplay #ssd1306 #ws2812 
#rgbleds #rotaryencoders #breadboard #prototyping #microcontrollers #microcontroller #engineering",15,2899,False,,True,"hackster,esp32,esp8266,arduino,raspberrypi,bluetooth,oledscreen,oleddisplay,ssd1306,ws2812,rgbleds,rotaryencoders,breadboard,prototyping,microcontrollers,microcontroller,engineering"
4477803392,https://www.instagram.com/p/CFezPQOj7gk/,2020-09-23 13:47:23,"Small #laboratorywork scene. The #blackberrypriv makes for a great #seconddisplay for bringing #pinout and similar diagrams close to the #breadboard or the #multimeter. Here, I wire up a #raspberrypi3 with an #SSD1306 #oleddisplay - as always, for #linkedinlearning, whose German division currently works on a #windows10foriot training for #embeddedsoftware beginners.

#programmierenlernen #learnprogramming #VisualStudio #visualstudio2017 #visualstudio2019 #embeddedwindows #windows10devices #raspberrypiproject #raspberrypi3b #laborarbeit #nerdlife #engineering #visualcsharp #visualbasic #dotnetcore #dotnetprogrammer #dotnetframework #linkedinlearninginstructor",2,407,False,,True,"laboratorywork,blackberrypriv,seconddisplay,pinout,breadboard,multimeter.,raspberrypi3,SSD1306,oleddisplay,linkedinlearning,,windows10foriot,embeddedsoftware,programmierenlernen,learnprogramming,VisualStudio,visualstudio2017,visualstudio2019,embeddedwindows,windows10devices,raspberrypiproject,raspberrypi3b,laborarbeit,nerdlife,engineering,visualcsharp,visualbasic,dotnetcore,dotnetprogrammer,dotnetframework,linkedinlearninginstructor"
9850233,https://www.instagram.com/p/BGzA9m1g6ka/,2016-06-18 13:14:17,"My #bluetooth #arduino #retrowatch #adeglelab
#arduinopromini #oled #ssd1306 #adafruit",2,32,False,,False,"bluetooth,arduino,retrowatch,adeglelab,arduinopromini,oled,ssd1306,adafruit"
5726940,https://www.instagram.com/p/BFuRbIUnldH/,2016-05-22 20:30:32,OLED display by i2c with ATmega32u4 #ssd1306 #oled #i2c #atmega32u4,1,6,True,2.0,False,"ssd1306,oled,i2c,atmega32u4"
49798556,https://www.instagram.com/p/BFNiqWTN5fd/,2016-05-10 03:26:13,"That was very long coding session spent working on #KWatch. Definitely, worth it. Finally, fundamentals are done but there are still many things to do!

You can follow my smartwatch project on github! Link: https://github.com/znfgnu/kwatch-firmware

#KWatch #smartwatch #electronics #serial #rs232 #ftdi #Warsaw #technology #Poland #diy #opensoftware #opensource #openhardware #coding #programming #stm #stm32 #arm #armprocessor #lcd #ssd1306 #console #terminal #viewer",10,156,True,338.0,False,"KWatch.,KWatch,smartwatch,electronics,serial,rs232,ftdi,Warsaw,technology,Poland,diy,opensoftware,opensource,openhardware,coding,programming,stm,stm32,arm,armprocessor,lcd,ssd1306,console,terminal,viewer"
439964251,https://www.instagram.com/p/BEY6EafQnLW/,2016-04-19 16:51:00,"displaying custom #bitmap from #I2C #EEPROM to #SSD1306 #GLCD controller

#ATMega32 
#programming 
#C #coding",0,18,True,82.0,False,"bitmap,I2C,EEPROM,SSD1306,GLCD,ATMega32,programming,C,coding"
2533363901,https://www.instagram.com/p/BDlShIrvPoZ/,2016-03-30 15:44:08,#Lcd #128x64 #0.96' #display #SSD1306 #oled,0,20,False,,False,"Lcd,128x64,0.96',display,SSD1306,oled"
2533363901,https://www.instagram.com/p/BDlSNzdPPn_/,2016-03-30 15:41:30,#Lcd #128x64 #0.96' #display #SSD1306 #oled,2,27,False,,False,"Lcd,128x64,0.96',display,SSD1306,oled"
201447617,https://www.instagram.com/p/BCj7yX8qOh-/,2016-03-05 06:34:53,Tuli näprättyä yöllä langaton näyttö tärkeimmille mittauksille. 💪🏾 #esp8266 #NodeMCU #oled #ssd1306 #i2c #iot #thingspeak #puulämmitys #humpuukia,6,33,False,,False,"esp8266,NodeMCU,oled,ssd1306,i2c,iot,thingspeak,puulämmitys,humpuukia"
1668915012,https://www.instagram.com/p/BBkuldlADYK/,2016-02-09 17:27:22,"Cat activity monitor logger
#xmega128a4u #mma7455 #sht11 #ssd1306 oled #rn42 #sdmicro  #tsop4856 #ds2438z #usb #dfu #lipo",1,5,False,,False,"xmega128a4u,mma7455,sht11,ssd1306,rn42,sdmicro,tsop4856,ds2438z,usb,dfu,lipo"
2314331842,https://www.instagram.com/p/BA7vKpWnM7e/,2016-01-24 19:23:35,"погода в доме на #stm32, #bme280 и #ssd1306",0,23,True,148.0,False,"stm32,,bme280,ssd1306"
71140,https://www.instagram.com/p/BAL6erFEdeG/,2016-01-06 05:38:53,"#ESP8266 Plasma demo

ESP at 160MHz, I2C at 1MHz, need to improve the dithering.

#arduino #ssd1306 #OLED",6,53,True,304.0,False,"ESP8266,arduino,ssd1306,OLED"
450947010,https://www.instagram.com/p/_2Jx2qn27p/,2015-12-28 18:49:17,Desk clock #arduino #esp8266 #oled #wifi #clock #diy #retro #deskclock #deskcalendar #weatherinfo #lowpower #ntp #json #ssd1306 #i2c #iot #nodemcu,2,46,True,256.0,False,"arduino,esp8266,oled,wifi,clock,diy,retro,deskclock,deskcalendar,weatherinfo,lowpower,ntp,json,ssd1306,i2c,iot,nodemcu"
450947010,https://www.instagram.com/p/_2JYBWn26n/,2015-12-28 18:45:46,My desk clock is ready! :) #arduino #esp8266 #oled #wifi #clock #diy #retro #deskclock #deskcalendar #weatherinfo #lowpower #ntp #json #ssd1306 #i2c #iot #nodemcu,0,36,False,,False,"arduino,esp8266,oled,wifi,clock,diy,retro,deskclock,deskcalendar,weatherinfo,lowpower,ntp,json,ssd1306,i2c,iot,nodemcu"
1921623668,https://www.instagram.com/p/9dQ2knuVRX/,2015-10-30 09:47:18,Current state of my #smart #watch #project #arduino #promini #OLED #SSD1306 #rtc #NRF24L01 #buttons #Lipo #battery,5,63,False,,False,"smart,watch,project,arduino,promini,OLED,SSD1306,rtc,NRF24L01,buttons,Lipo,battery"
992599415,https://www.instagram.com/p/9RckmWxQCL/,2015-10-25 19:38:49,"Эта мегаштука сделанная мной будет отапливать дачу, включать подогрев пола, освещение и прожекторы через телефон с помощью СМС комманд.  Вот #электрощит для моей #умнаядача на #arduino #ардуино #mega2560  #gsm #sim900 #умныйдом #oled #i2c #lcd #128x64 #ssd1306 #lcd12864 #atmega",8,97,False,,False,"электрощит,умнаядача,arduino,ардуино,mega2560,gsm,sim900,умныйдом,oled,i2c,lcd,128x64,ssd1306,lcd12864,atmega"
539624951,https://www.instagram.com/p/8kAwa6TWCD/,2015-10-08 04:09:56,"#maze on #Rpi2 with 0.96"" #SSD1306 OLED LCD",0,5,True,0.0,False,"maze,Rpi2,SSD1306"
1503407943,https://www.instagram.com/p/8KMO7PLgLU/,2015-09-28 03:29:58,"Because my original tachometer acts strange.

#arduino #ssd1306 #oled #electronics #diy #hondacb #honda #motorcycle #cb750x #cb750 #nighthawk750 #nighthawk750",1,30,False,,False,"arduino,ssd1306,oled,electronics,diy,hondacb,honda,motorcycle,cb750x,cb750,nighthawk750,nighthawk750"
450947010,https://www.instagram.com/p/77AJCtn26Z/,2015-09-22 05:55:42,"#esp8266 #nodemcu #arduino #ssd1306 #oled #i2c #wifiscanner #plovdiv #maina #napravisisam #ръцетемипречат #plovediv #diy
Wi-Fi scanner with ESP8266",0,21,False,,False,"esp8266,nodemcu,arduino,ssd1306,oled,i2c,wifiscanner,plovdiv,maina,napravisisam,ръцетемипречат,plovediv,diy"
450947010,https://www.instagram.com/p/70SkTyn2zJ/,2015-09-19 15:22:02,#esp8266 #nodemcu #arduino #ssd1306 #oled #i2c #weather #panel #plovdiv #maina #napravisisam #ръцетемипречат #plovediv #diy,1,38,True,0.0,False,"esp8266,nodemcu,arduino,ssd1306,oled,i2c,weather,panel,plovdiv,maina,napravisisam,ръцетемипречат,plovediv,diy"
